date,lottey-number,win-amount
2021-05-22,1381,"$5,000"
2021-05-21,3857,"$5,000"
2021-05-20,7736,"$5,000"
2021-05-19,8315,"$5,000"
2021-05-18,9129,"$5,000"
2021-05-17,9170,"$5,000"
2021-05-16,9907,"$5,000"
2021-05-15,7171,"$5,000"
2021-05-14,9161,"$5,000"
2021-05-13,9141,"$5,000"
2021-05-12,3337,"$5,000"
2021-05-11,7584,"$5,000"
2021-05-10,0678,"$5,000"
2021-05-09,4629,"$5,000"
2021-05-08,2718,"$5,000"
2021-05-07,7325,"$5,000"
2021-05-06,2916,"$5,000"
2021-05-05,9727,"$5,000"
2021-05-04,6586,"$5,000"
2021-05-03,9846,"$5,000"
2021-05-02,3564,"$5,000"
2021-05-01,5230,"$5,000"
2021-04-30,2045,"$5,000"
2021-04-29,7532,"$5,000"
2021-04-28,1001,"$5,000"
2021-04-27,6839,"$5,000"
2021-04-26,5899,"$5,000"
2021-04-25,3411,"$5,000"
2021-04-24,7700,"$5,000"
2021-04-23,5928,"$5,000"
2021-04-22,5830,"$5,000"
2021-04-21,7859,"$5,000"
2021-04-20,2398,"$5,000"
2021-04-19,1870,"$5,000"
2021-04-18,4601,"$5,000"
2021-04-17,1041,"$5,000"
2021-04-16,6049,"$5,000"
2021-04-15,5434,"$5,000"
2021-04-14,6755,"$5,000"
2021-04-13,1165,"$5,000"
2021-04-12,1080,"$5,000"
2021-04-11,4714,"$5,000"
2021-04-10,9480,"$5,000"
2021-04-09,0874,"$5,000"
2021-04-08,9191,"$5,000"
2021-04-07,1243,"$5,000"
2021-04-06,7524,"$5,000"
2021-04-05,3307,"$5,000"
2021-04-04,9747,"$5,000"
2021-04-03,0087,"$5,000"
2021-04-02,1978,"$5,000"
2021-04-01,9907,"$5,000"
2021-03-31,0393,"$5,000"
2021-03-30,6436,"$5,000"
2021-03-29,9868,"$5,000"
2021-03-28,7292,"$5,000"
2021-03-27,8784,"$5,000"
2021-03-26,5798,"$5,000"
2021-03-25,1521,"$5,000"
2021-03-24,1991,"$5,000"
2021-03-23,6544,"$5,000"
2021-03-22,2459,"$5,000"
2021-03-21,8918,"$5,000"
2021-03-20,3660,"$5,000"
2021-03-19,4922,"$5,000"
2021-03-18,6301,"$5,000"
2021-03-17,0558,"$5,000"
2021-03-16,4419,"$5,000"
2021-03-15,4494,"$5,000"
2021-03-14,5080,"$5,000"
2021-03-13,0865,"$5,000"
2021-03-12,3380,"$5,000"
2021-03-11,5882,"$5,000"
2021-03-10,5268,"$5,000"
2021-03-09,5743,"$5,000"
2021-03-08,5950,"$5,000"
2021-03-07,9921,"$5,000"
2021-03-06,5359,"$5,000"
2021-03-05,7276,"$5,000"
2021-03-04,8104,"$5,000"
2021-03-03,5668,"$5,000"
2021-03-02,6681,"$5,000"
2021-03-01,5925,"$5,000"
2021-02-28,4266,"$5,000"
2021-02-27,4999,"$5,000"
2021-02-26,7441,"$5,000"
2021-02-25,0669,"$5,000"
2021-02-24,4691,"$5,000"
2021-02-23,9667,"$5,000"
2021-02-22,8839,"$5,000"
2021-02-21,2111,"$5,000"
2021-02-20,5906,"$5,000"
2021-02-19,4036,"$5,000"
2021-02-18,6511,"$5,000"
2021-02-17,9403,"$5,000"
2021-02-16,6022,"$5,000"
2021-02-15,5750,"$5,000"
2021-02-14,0729,"$5,000"
2021-02-13,8747,"$5,000"
2021-02-12,7530,"$5,000"
2021-02-11,7690,"$5,000"
2021-02-10,7996,"$5,000"
2021-02-09,6656,"$5,000"
2021-02-08,9210,"$5,000"
2021-02-07,0931,"$5,000"
2021-02-06,1330,"$5,000"
2021-02-05,3021,"$5,000"
2021-02-04,3509,"$5,000"
2021-02-03,0563,"$5,000"
2021-02-02,7816,"$5,000"
2021-02-01,8891,"$5,000"
2021-01-31,0349,"$5,000"
2021-01-30,9387,"$5,000"
2021-01-29,1316,"$5,000"
2021-01-28,3046,"$5,000"
2021-01-27,1053,"$5,000"
2021-01-26,9363,"$5,000"
2021-01-25,7913,"$5,000"
2021-01-24,7259,"$5,000"
2021-01-23,0958,"$5,000"
2021-01-22,2079,"$5,000"
2021-01-21,7600,"$5,000"
2021-01-20,0156,"$5,000"
2021-01-19,2565,"$5,000"
